id_fuente,nombre_fuente,tipo_fuente,organismo_entidad,url_base,confiabilidad,frecuencia_actualizacion,fecha_consulta,notas
F06,Subsecretaría de Políticas Gastronómicas,Oficial / institucional,GCBA - Ministerio Desarrollo Económico,https://buenosaires.gob.ar/subsecretaria-de-politicas-gastronomicas,Alta,No disponible,2026-06-09,Impulsa BA Capital Gastronómica y Distrito del Vino.
F07,DG Desarrollo Gastronómico,Oficial / institucional,GCBA - Ministerio Desarrollo Económico,https://buenosaires.gob.ar/desarrolloeconomico/subsecretaria-de-bienestar-ciudadano/direccion-general-de-desarrollo-gastronomico,Alta,No disponible,2026-06-09,"Articulación con cámaras, simplificación normativa y capacitación. Organiza ciclos como Sabores del Mundo."
F08,BA Capital Gastronómica - agenda y noticias,Oficial / noticias,GCBA,https://buenosaires.gob.ar/desarrolloeconomico/gastronomia/noticias/la-agenda-de-eventos-gastronomicos-de-la-ciudad,Media,No disponible,2026-06-09,Agenda de eventos no estructurada; requiere relevamiento manual o extracción controlada.
F09,Bares Notables - Patrimonio,Oficial / institucional,GCBA - Cultura,https://buenosaires.gob.ar/cultura/patrimonio-de-la-ciudad/acciones/bares-notables,Alta,No disponible,2026-06-09,Programa creado por Ley 35/98. Catálogo de bares notables.
F10,Boletín Oficial CABA - convocatorias DGDGAS,Oficial / normativa,GCBA,https://documentosboletinoficial.buenosaires.gob.ar,Alta,No disponible,2026-06-09,"Fuente primaria para disposiciones, convocatorias y normas."
F11,Estadística CABA / IDECBA,Oficial / estadística,DG Estadística y Censos,https://www.estadisticaciudad.gob.ar,Alta,No disponible,2026-06-09,"Indicadores por comuna, censo de locales comerciales y contexto territorial."
F12,Noticias Banco Ciudad - créditos gastronómicos,Oficial-mixta,GCBA / Banco Ciudad,https://buenosaires.gob.ar/noticias/el-banco-ciudad-lanza-nuevos-creditos-y-beneficios-para-el-sector-gastronomico,Media-Alta,No disponible,2026-06-09,Líneas de créditos y beneficios para comercios gastronómicos.
F13,AFADHYA - Semana del Helado / Noche de las Heladerías,Privada / evento,AFADHYA,https://www.semanadelhelado.com.ar,Media,No disponible,2026-06-09,Mapa del Sabor y locales adheridos; fuente privada relevante.
F14,APPYCE - Noche de la Pizza y la Empanada,Privada / evento,APPYCE,https://appyce.org.ar,Media,No disponible,2026-06-09,Evento anual con pizzerías adheridas y apoyo BA Capital Gastronómica.
F15,Time Out Buenos Aires - Guía Restaurantes & Bares,Privada / guía,Time Out,https://www.timeout.com/es/buenos-aires,Media,No disponible,2026-06-09,Capa cualitativa; no descargable como dato.
F16,Normalizador de direcciones USIG,Oficial / API,GCBA - USIG,https://servicios.usig.buenosaires.gob.ar,Alta,No disponible,2026-06-09,Herramienta para normalizar y geocodificar direcciones.
F01,Oferta y Establecimientos Gastronomicos,Oficial / dato abierto,Ente de Turismo - GCBA,https://data.buenosaires.gob.ar/dataset/oferta-establecimientos-gastronomicos,Media-Alta,No disponible,2026-06-10,Puede tener mojibake; trae lat/lon de fuente para mapa; no trae fecha por registro; puede estar desactualizado.
F02,Habilitaciones Aprobadas AGC 2015-2018,Oficial / dato abierto,Agencia Gubernamental de Control - GCBA,https://data.buenosaires.gob.ar/dataset/habilitaciones-aprobadas,Alta,No disponible,2026-06-10,Clasificacion gastronomica inferida desde descripcion de rubro; no se exige recurso 2026.
F03,Ferias y Mercados,Oficial / dato abierto,DG Ferias - Ministerio de Ambiente y Espacio Publico - GCBA,https://data.buenosaires.gob.ar/dataset/ferias-mercados,Alta,No disponible,2026-06-10,Geometria completa no disponible; GeoJSON separado representa solo FIAB.
F04,Eventos gastronomicos semiestructurados,Oficial / dato abierto,"Relevamiento propio sobre GCBA, Turismo BA, Boletin Oficial y fuentes complementarias",relevamiento_manual_trazable,Media-Alta,No disponible,2026-06-10,No es dataset oficial estructurado; no representa el universo completo de eventos gastronomicos.
F05,Programas y politicas gastronomicas semiestructuradas,Oficial / dato abierto,"Relevamiento propio sobre GCBA, normativa, Boletin Oficial y fuentes complementarias",relevamiento_manual_trazable,Media-Alta,No disponible,2026-06-10,"No es dataset oficial estructurado; catalogo curado, no serie temporal de impacto."
