source_id,path,origin,rows,mapped_columns,missing_columns,extra_columns
F01,C:\proyectos\Gastronomia\DataGastro\data\raw\f01_oferta_establecimientos_gastronomicos.csv,real,2823,recurso=F01; id_raw <- id; nombre_original <- nombre; categoria_original <- categoria; direccion_original <- direccion_completa; barrio_original <- barrio; comuna_original <- comuna,,long; lat; cocina; ambientacion; telefono; mail; horario; calle_nombre; calle_altura; calle_cruce; codigo_postal; codigo_postal_argentino
F02,C:\proyectos\Gastronomia\DataGastro\data\raw\f02_habilitaciones_aprobadas_2015_2018.csv,real,137463,recurso=F02_2015_2018; id_raw <- numero_expediente; fecha_habilitacion <- fecha_habilitacion; rubro_original <- descripcion_rubro; direccion_original <- calles; superficie <- superficie,,solicitud; tipo_tramite; tipo_expediente; subtipo_expediente; codigo_rubro; seccion; manzana; parcela; partida_matriz; partida_horizontal; unidad_funcional; titulares; cuits
F02,C:\proyectos\Gastronomia\DataGastro\data\raw\f02_habilitaciones_aprobadas_2019.csv,real,23203,recurso=F02_2019; id_raw <- numero_expediente; fecha_habilitacion <- fecha_habilitacion; rubro_original <- descripcion_rubro; direccion_original <- calles; superficie <- superficie,,solicitud; tipo_tramite; tipo_expediente; subtipo_expediente; hora_habilitacion; codigo_rubro; unidad_funcional; seccion; manzana; parcela; partida_matriz; partida_horizontal; titulares; cuits
F02,C:\proyectos\Gastronomia\DataGastro\data\raw\f02_habilitaciones_aprobadas_2020.csv,real,12938,recurso=F02_2020; fecha_habilitacion <- FechaHabilitacion; rubro_original <- DescripcionRubro; direccion_original <- Calles; superficie <- Superficie,,Solicitud; TipoTramite; TipoExpediente; SubTipoExpediente; HoraHabilitacion; NumeroExp; CodigoRubro; CodigoSubRubro; DescripcionSubRubro; UnidadFuncional; Seccion; Manzana; Parcela; Partida_Matriz; PartidaHorizontal; Titulares; Cuits
F02,C:\proyectos\Gastronomia\DataGastro\data\raw\f02_habilitaciones_aprobadas_2021.csv,real,31829,recurso=F02_2021; fecha_habilitacion <- FechaHabilitacion; rubro_original <- DescripcionRubro; direccion_original <- Calles; superficie <- Superficie,,Solicitud; TipoTramite; TipoExpediente; SubTipoExpediente; HoraHabilitacion; NumeroExp; CodigoRubro; CodigoSubRubro; DescripcionSubRubro; UnidadFuncional; Seccion; Manzana; Parcela; Partida_Matriz; PartidaHorizontal; Titulares; Cuits; Unnamed: 21; Unnamed: 22; Unnamed: 23; Unnamed: 24; Unnamed: 25; Unnamed: 26; Unnamed: 27; Unnamed: 28
F02,C:\proyectos\Gastronomia\DataGastro\data\raw\f02_habilitaciones_aprobadas_2022.csv,real,26430,recurso=F02_2022; fecha_habilitacion <- FechaHabilitacion; rubro_original <- DescripcionRubro; direccion_original <- Calles; superficie <- Superficie,,Solicitud; TipoTramite; TipoExpediente; SubTipoExpediente; HoraHabilitacion; NumeroExp; CodigoRubro; CodigoSubRubro; DescripcionSubRubro; UnidadFuncional; Seccion; Manzana; Parcela; Partida_Matriz; PartidaHorizontal; Titulares; Cuits
F02,C:\proyectos\Gastronomia\DataGastro\data\raw\f02_habilitaciones_aprobadas_2023.csv,real,5063,recurso=F02_2023; fecha_habilitacion <- FechaHabilitacion; rubro_original <- DescripcionRubro; direccion_original <- Calles; superficie <- Superficie,,Solicitud; TipoTramite; TipoExpediente; SubTipoExpediente; HoraHabilitacion; NumeroExp; CodigoRubro; CodigoSubRubro; DescripcionSubRubro; UnidadFuncional; Seccion; Manzana; Parcela; Partida_Matriz; PartidaHorizontal; Titulares; Cuits
F02,C:\proyectos\Gastronomia\DataGastro\data\raw\f02_habilitaciones_aprobadas_2024.csv,real,8637,recurso=F02_2024; fecha_habilitacion <- FechaHabilitacion; rubro_original <- DescripcionRubro; direccion_original <- Calles; superficie <- Superficie,,Solicitud; TipoTramite; TipoExpediente; SubTipoExpediente; HoraHabilitacion; NumeroExp; CodigoRubro; CodigoSubRubro; DescripcionSubRubro; UnidadFuncional; Seccion; Manzana; Parcela; Partida_Matriz; PartidaHorizontal; Titulares; Cuits
F02,C:\proyectos\Gastronomia\DataGastro\data\raw\f02_habilitaciones_aprobadas_2025.csv,real,145483,recurso=F02_2025; rubro_original <- rubro; direccion_original <- domicilio; comuna_original <- comuna,,razon_social; cod_postal_titular; nropartidamatriz; telefono; disposicion; comentarios
F03,C:\proyectos\Gastronomia\DataGastro\data\raw\f03_ferias_mercados.csv,real,4352,recurso=F03; id_raw <- id; nombre_original <- nombre; tipo_original <- categoria,,feria; puesto; rubro; apellido
F03,C:\proyectos\Gastronomia\DataGastro\data\raw\f03_ferias.csv,real,30,recurso=F03_FERIAS; id_raw <- id; nombre_original <- nombre; tipo_original <- tipo; direccion_original <- direccion; barrio_original <- barrio; comuna_original <- comuna; dias_horarios_original <- dias,,lat; lng; objeto; observacio; calle; cruce; direc_norm; direc_arcg
F03,C:\proyectos\Gastronomia\DataGastro\data\raw\f03_mercados.csv,real,6,recurso=F03_MERCADOS; nombre_original <- nombre; direccion_original <- ubicacion; barrio_original <- barrio,tipo_original,arc_street; nombre_map
